PassengerId,Survived,Fare,Age*Class,Family_size,Fare_by_person,Sex_female,Sex_male,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_X,Embarked_C,Embarked_Q,Embarked_S
1,0,7.25,66.0,2,3.625,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,1,71.2833,38.0,2,35.64165,True,False,False,False,True,False,False,False,False,False,False,True,False,False
3,1,7.925,78.0,1,7.925,True,False,False,False,False,False,False,False,False,False,True,False,False,True
4,1,53.1,35.0,2,26.55,True,False,False,False,True,False,False,False,False,False,False,False,False,True
5,0,8.05,105.0,1,8.05,False,True,False,False,False,False,False,False,False,False,True,False,False,True
6,0,8.4583,89.09735294117647,1,8.4583,False,True,False,False,False,False,False,False,False,False,True,False,True,False
7,0,51.8625,54.0,1,51.8625,False,True,False,False,False,False,True,False,False,False,False,False,False,True
8,0,21.075,6.0,5,4.215,False,True,False,False,False,False,False,False,False,False,True,False,False,True
9,1,11.1333,81.0,3,3.7111,True,False,False,False,False,False,False,False,False,False,True,False,False,True
10,1,30.0708,28.0,2,15.0354,True,False,False,False,False,False,False,False,False,False,True,True,False,False
11,1,16.7,12.0,3,5.566666666666666,True,False,False,False,False,False,False,False,True,False,False,False,False,True
12,1,26.55,58.0,1,26.55,True,False,False,False,True,False,False,False,False,False,False,False,False,True
13,0,8.05,60.0,1,8.05,False,True,False,False,False,False,False,False,False,False,True,False,False,True
14,0,31.275,117.0,7,4.4678571428571425,False,True,False,False,False,False,False,False,False,False,True,False,False,True
15,0,7.8542,42.0,1,7.8542,True,False,False,False,False,False,False,False,False,False,True,False,False,True
16,1,16.0,110.0,1,16.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True
17,0,29.125,6.0,6,4.854166666666667,False,True,False,False,False,False,False,False,False,False,True,False,True,False
18,1,13.0,59.39823529411764,1,13.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True
19,0,18.0,93.0,2,9.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True
20,1,7.225,89.09735294117647,1,7.225,True,False,False,False,False,False,False,False,False,False,True,True,False,False
21,0,26.0,70.0,1,26.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True
22,1,13.0,68.0,1,13.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True
23,1,8.0292,45.0,1,8.0292,True,False,False,False,False,False,False,False,False,False,True,False,True,False
24,1,35.5,28.0,1,35.5,False,True,True,False,False,False,False,False,False,False,False,False,False,True
